id,nombre,descripcion,precio,sku,stock,imagen_url,categoria,seccion,is_eco,porcentaje_descuento,plataforma,category_id,claves
36,"Elden Ring","El nuevo juego de FromSoftware ganador del GOTY.",59.99,ELD-001,4,img/elden.webp,rpg,,0,10,,1,ELDEN-RING-7SY15-XQUCC|ELDEN-RING-LJGKX-GQ3FC|ELDEN-RING-3FSQX-XGJR2|ELDEN-RING-PLN1K-WYTQJ
37,"Hades II","La secuela del roguelike más aclamado.",29.99,HAD-002,5,img/Hades2.webp,rpg,,0,0,,1,HADES-II-NPOII-SLCEM|HADES-II-IXGUI-QEGMO|HADES-II-NRTPC-9PIYG|HADES-II-V5CNL-CGIFH|HADES-II-WG7OW-MPIJQ
38,"Marvel's Spider-Man 2","Increíble juego de acción y aventura.",69.99,SPM-002,5,img/Spider-Man.webp,accion,comprados,0,0,PS5,2,MARVELS-SPIDER--KDMCF-SFR2U|MARVELS-SPIDER--FSZDB-BMOQF|MARVELS-SPIDER--NLQRD-Z6VXE|MARVELS-SPIDER--KCH1J-4U9VX|MARVELS-SPIDER--O0HUZ-PEB4V
39,"EA Sports FC 24","El rey del fútbol vuelve con nueva marca.",59.99,FC-24,5,img/FC.webp,deportes,comprados,0,0,PC,3,EA-SPORTS-FC-24-OHFX3-OS8RT|EA-SPORTS-FC-24-S4QDL-PM6RJ|EA-SPORTS-FC-24-PA8Y9-CPC7Y|EA-SPORTS-FC-24-N8NTE-WC0XG|EA-SPORTS-FC-24-Z8PXI-QUZUB
40,"Monster Hunter Wilds","Caza monstruos gigantes en entornos salvajes.",69.99,MHW-003,4,img/MonsterHunterWilds.jpeg,rpg,comprados,0,0,PC,1,MONSTER-HUNTER--ANZYN-QJAYW|MONSTER-HUNTER--TZHXX-FJDX0|MONSTER-HUNTER--W3LQ6-JZZLS|MONSTER-HUNTER--SFQFD-H4MQV
41,"Hollow Knight: Silksong","La esperada secuela de Hollow Knight.",29.99,HKS-004,5,img/silksong.webp,plataformas,comprados,0,0,Switch,4,HOLLOW-KNIGHT-S-XRGIP-GHJTO|HOLLOW-KNIGHT-S-SJSKL-QLWA8|HOLLOW-KNIGHT-S-YG15G-6KGG9|HOLLOW-KNIGHT-S-IQRBE-QN6HK|HOLLOW-KNIGHT-S-QSDDO-NW7CX
42,"NBA 2K26","El simulador de baloncesto definitivo.",69.99,NBA-26,5,img/nba2k26.jpeg,deportes,comprados,0,0,Xbox,3,NBA-2K26-06DB8-QEJPU|NBA-2K26-1BT9D-O1DCB|NBA-2K26-TADPY-IMOWP|NBA-2K26-M0WDB-VUHKR|NBA-2K26-RHTRL-5X9H7
43,"Silent Hill f","El terror psicológico regresa.",59.99,SHF-005,5,img/silenthillf.jpeg,terror,comprados,0,0,PC,5,SILENT-HILL-F-OEKMM-66XH5|SILENT-HILL-F-0CIOB-4FPL4|SILENT-HILL-F-F3WNI-JVUDB|SILENT-HILL-F-HZWCO-JLZ4K|SILENT-HILL-F-AAABW-AJOQL
44,"Final Fantasy VII Rebirth","La continuación de la épica aventura de Cloud.",79.99,FF7-R,5,img/ff7rebirth.webp,rpg,comprados,1,0,PS5,1,FINAL-FANTASY-V-HC0PV-NBC0Z|FINAL-FANTASY-V-FPBOF-YTL9V|FINAL-FANTASY-V-NRBGD-H8FZ2|FINAL-FANTASY-V-LMCBX-QAKSI|FINAL-FANTASY-V-YESYC-BPV27
45,"Tekken 8","Siente el poder de cada golpe.",69.99,TK-8,5,img/tekken8.webp,accion,comprados,0,0,PC,2,TEKKEN-8-AOCGU-BLMZB|TEKKEN-8-PJWMC-KABKK|TEKKEN-8-EO8ID-57BBH|TEKKEN-8-MZ2WH-W7LTC|TEKKEN-8-BLDWG-PTINH
46,"God of War Ragnarök","El viaje de Kratos y Atreus continúa.",59.99,GOW-R,5,img/gowragnarok.webp,accion,comprados,0,0,PC,2,GOD-OF-WAR-RAGN-CBCXS-SKFRY|GOD-OF-WAR-RAGN-FCHUF-JT2PT|GOD-OF-WAR-RAGN-RAFFV-KOBN4|GOD-OF-WAR-RAGN-YXLMI-MRVKM|GOD-OF-WAR-RAGN-2GRIO-L9III
47,Starfield,"Explora el espacio en este RPG de Bethesda.",69.99,SF-001,5,img/starfield.webp,rpg,comprados,0,0,PC,1,STARFIELD-FYUH2-RSQMG|STARFIELD-7ZTO4-PJ8OG|STARFIELD-ENJJM-RR6CJ|STARFIELD-NUPWD-GGZTW|STARFIELD-X3ZTR-XFEPC
48,"Borderlands 4","Looter shooter caótico y divertido.",19.99,BOR-006,3,img/Borderlands4.jpeg,shooter,ofertas,0,50,PC,6,BORDERLANDS-4-VHCP5-7WBXV|BORDERLANDS-4-RMI7Y-A8JBC|BORDERLANDS-4-4NAIG-P3BNU
49,"Elden Ring: Shadow of the Erdtree","Expansión masiva del GOTY.",15.00,ELD-DLC,5,img/elden.webp,rpg,ofertas,0,30,PC,1,ELDEN-RING-SHAD-HS3CU-NROQV|ELDEN-RING-SHAD-VRJTK-ELDOI|ELDEN-RING-SHAD-6VICL-0JXP7|ELDEN-RING-SHAD-2AINK-8TPQI|ELDEN-RING-SHAD-8XIEP-F2BNM
50,Hades,"El roguelike original que definió el género.",9.99,HAD-001,5,img/Hades2.webp,rpg,ofertas,1,40,Switch,1,HADES-IJSWV-JREGU|HADES-FUEGC-TZZFZ|HADES-35UHC-GO1I2|HADES-QYRQF-RATKN|HADES-TX6E4-24AAU
51,"Repo Man","RPG narrativo de gestión de deudas.",5.00,REP-007,5,img/repo.webp,rpg,ofertas,1,25,PC,1,REPO-MAN-4IVAO-LS2H6|REPO-MAN-SEFKN-9GEZI|REPO-MAN-OFBSG-FZ2CE|REPO-MAN-WIIBP-CVIWR|REPO-MAN-IPO1I-LZH1Q
52,"Battle Bit","Shooter masivo low-poly.",4.99,BBL-008,5,img/battel.jpeg,shooter,ofertas,1,10,PC,6,BATTLE-BIT-DDZ8L-QVKUH|BATTLE-BIT-TAVAV-SZTQY|BATTLE-BIT-2JTLC-VUPTT|BATTLE-BIT-4AC8Q-KONBA|BATTLE-BIT-DICGR-HUUBW
53,"Peak Design","Herramienta de diseño favorita.",8.50,PEAK-009,5,img/peak.jpeg,software,ofertas,0,15,PC,7,PEAK-DESIGN-LJGDL-176PY|PEAK-DESIGN-WYOKC-QWF7S|PEAK-DESIGN-QYGAF-LTLFK|PEAK-DESIGN-HJQES-AYNZW|PEAK-DESIGN-D7ETB-7WUZZ
54,"Cyberpunk 2077: Ultimate Edition","Sumérgete en el oscuro futuro de Night City.",29.99,CP-77,5,img/cyberpunk2077.webp,rpg,ofertas,0,60,PC,1,CYBERPUNK-2077--GPXRE-EGXT4|CYBERPUNK-2077--MT9PL-MADGI|CYBERPUNK-2077--QR3UB-VKDZO|CYBERPUNK-2077--CNMSU-WG383|CYBERPUNK-2077--8MGMG-Y5RPK
55,"The Witcher 3: Wild Hunt","Caza monstruos en esta mítica aventura.",14.99,W3-WH,5,img/witcher3.webp,rpg,ofertas,0,70,PC,1,THE-WITCHER-3-W-LS70J-DA8RM|THE-WITCHER-3-W-V9A5O-YH3DH|THE-WITCHER-3-W-S8TKQ-G3SGM|THE-WITCHER-3-W-6BC2Q-1EDUH|THE-WITCHER-3-W-JQMOX-EHZGT
56,"Red Dead Redemption 2","Una epopeya del salvaje oeste.",19.79,RDR-2,5,img/rdr2.webp,accion,ofertas,0,67,PC,2,RED-DEAD-REDEMP-JJKQY-X6DBF|RED-DEAD-REDEMP-OWUKE-P8ESK|RED-DEAD-REDEMP-SPHDF-8SITS|RED-DEAD-REDEMP-LBX9Y-MLBO1|RED-DEAD-REDEMP-MBYRW-7XZHL
57,"Doom Eternal","Arrasa con el infierno.",9.99,DOOM-E,5,img/doometernal.webp,shooter,ofertas,0,75,PC,6,DOOM-ETERNAL-YE5BO-BDDF8|DOOM-ETERNAL-ZPEDO-FN7IH|DOOM-ETERNAL-GRAGZ-Y4MN4|DOOM-ETERNAL-QKYI5-WBSYM|DOOM-ETERNAL-MZ2JG-IZNEE
58,"Civilization VI","Construye un imperio que resista el paso del tiempo.",5.99,CIV-6,5,img/civilization6.webp,rpg,ofertas,0,90,PC,1,CIVILIZATION-VI-AGOBI-S0RLT|CIVILIZATION-VI-XT9O4-YPWGF|CIVILIZATION-VI-Y5NBH-T5CJ3|CIVILIZATION-VI-8UUXU-WRKRK|CIVILIZATION-VI-Z4DLW-PF6HW
59,"Portal 2","Física y puzles en Aperture Science.",0.99,PORT-2,5,img/portal2.webp,plataformas,ofertas,0,90,PC,4,PORTAL-2-UCHH0-WCQWA|PORTAL-2-B4CBJ-5BIVE|PORTAL-2-DVIDD-RAAHT|PORTAL-2-1EXXB-XAAAF|PORTAL-2-42OXS-3EQLF
60,"Windows 11 Pro","El sistema operativo más reciente de Microsoft.",129.99,WIN-11,5,img/windows11.jpg,software,software,0,0,PC,7,WINDOWS-11-PRO-8UJXD-L0UB9|WINDOWS-11-PRO-LDMMJ-4UTFE|WINDOWS-11-PRO-WOGUE-F0FLW|WINDOWS-11-PRO-DNPWU-RFHN5|WINDOWS-11-PRO-TOPUT-G23FT
61,"Microsoft Office 365","Suite de productividad en la nube.",69.99,OFF-365,5,img/office365.jpeg,software,software,0,0,PC,7,MICROSOFT-OFFIC-9FNEJ-T3Y6G|MICROSOFT-OFFIC-AEBEJ-QCGB4|MICROSOFT-OFFIC-WMBX3-K8XOD|MICROSOFT-OFFIC-HENEC-CWBB0|MICROSOFT-OFFIC-8BXIN-B4SY3
62,"Adobe Creative Cloud","Todas las apps creativas de Adobe.",299.99,ADB-CC,5,img/adobe.png,software,software,0,0,PC,7,ADOBE-CREATIVE--SCO6F-B2XUH|ADOBE-CREATIVE--LMHI3-FA5WV|ADOBE-CREATIVE--TSLJE-NPJXH|ADOBE-CREATIVE--YUI7S-QRG0Z|ADOBE-CREATIVE--SBNNL-N1ZQR
63,"ChatGPT Plus","IA conversacional avanzada con GPT-4.",20.00,GPT-PLUS,5,img/chatgpt.jpg,ia,software,0,0,Web,8,CHATGPT-PLUS-OQHUQ-N186V|CHATGPT-PLUS-I4N98-9ZBCV|CHATGPT-PLUS-ABZGF-DG7TI|CHATGPT-PLUS-VN03A-SRXTM|CHATGPT-PLUS-N9YIN-NJWPU
64,"Gemini Advanced","El model de IA más capaz de Google.",19.99,GOO-GEM,5,img/gemini.jpeg,ia,software,1,0,Web,8,GEMINI-ADVANCED-NEJOJ-RGREG|GEMINI-ADVANCED-D8GSJ-CM9CW|GEMINI-ADVANCED-HA64H-PKS3B|GEMINI-ADVANCED-VJHLE-DLWQ6|GEMINI-ADVANCED-QA7YP-20OCD
65,"Perplexity Pro","Búsqueda impulsada por IA.",20.00,PER-PRO,5,img/perplexity.jpeg,ia,software,0,0,Web,8,PERPLEXITY-PRO-NDYQX-ODXLT|PERPLEXITY-PRO-XFQ2B-GLTOC|PERPLEXITY-PRO-6K5X6-VMZRU|PERPLEXITY-PRO-ARGPX-2STCI|PERPLEXITY-PRO-RDI3U-EQATB
66,"AutoCAD 2024","Diseño asistido por ordenador profesional.",1500.00,ACAD-24,5,img/autocad.webp,software,software,0,10,PC,7,AUTOCAD-2024-F4VTI-OWENI|AUTOCAD-2024-F95B6-UFZFV|AUTOCAD-2024-4ZRSS-SQ8DR|AUTOCAD-2024-PN3K5-PGTFW|AUTOCAD-2024-ZEUCA-T5HKY
67,"IntelliJ IDEA Ultimate","El IDE más inteligente para Java.",149.00,IJ-ULT,5,img/intellij.webp,software,software,0,20,PC,7,INTELLIJ-IDEA-U-8FS5Z-1CJDG|INTELLIJ-IDEA-U-BREVN-HPXZZ|INTELLIJ-IDEA-U-F85AY-7ZRVE|INTELLIJ-IDEA-U-N4MJW-HTMHW|INTELLIJ-IDEA-U-4VVPN-FVC8V
